song,artist
Black Velvet,Alannah Myles
So Alive,Love and Rockets
Downtown Train,Rod Stewart
Love Shack,The B-52's
I Won't Back Down,Tom Petty and the Heartbreakers
Mixed Emotions,The Rolling Stones
Got It Made,"Crosby, Stills, Nash & Young"
I'll Be You,The Replacements
The Love In Your Eyes,Eddie Money
Fascination Street,The Cure
Eternal Flame,The Bangles
Sowing the Seeds of Love,Tears for Fears
No Myth,Michael Penn
Between Something And Nothing,The Ocean Blue
The Mayor of Simpleton,XTC
The End of the Innocence,Don Henley
Madonna Of The Wasps,Robyn Hitchcock & The Egyptians
Rock and a Hard Place,The Rolling Stones
Driven Out,The Fixx
Right Here Waiting,Richard Marx
Free Fallin',Tom Petty
Veronica,Elvis Costello
Brother Of Mine,Anderson Bruford Wakeman Howe
Roam,The B-52's
James Brown,Big Audio Dynamite
Regina,The Sugarcubes
When Love Comes To Town,U2 with B.B. King
Dirty Blvd.,Lou Reed
Pretending,Eric Clapton
Let the Day Begin,The Call
Love in an Elevator,Aerosmith
Lovesong,The Cure
The Doctor,The Doobie Brothers
Love Song,Tesla
Good Thing,Fine Young Cannibals
Bad Love,Eric Clapton
Need A Little Taste Of Love,The Doobie Brothers
Here Comes Your Man,Pixies
You Got It,Roy Orbison
Fisherman's Blues,The Waterboys
Love and Anger,Kate Bush
Blues From A Gun,The Jesus and Mary Chain
House,The Psychedelic Furs
Proud to Fall,Ian McCulloch
Something To Hold On To,Trevor Rabin
A Friend Is A Friend,Pete Townshend
Drive My Car,David Crosby
If I Could Turn Back Time,Cher
...This Town...,Elvis Costello
See A Little Light,Bob Mould
A Girl Like You,The Smithereens
Sold Me Down the River,The Alarm
Don't Say You Love Me,Billy Squier
Nightmares,Violent Femmes
Fire Woman,The Cult
Rooms on Fire,Stevie Nicks
Pet Sematary,Ramones
Runnin' Down A Dream,Tom Petty
Peace in Our Time,Eddie Money
World In Motion,Jackson Browne
Head On,The Jesus and Mary Chain
Sweet Jane,Cowboy Junkies
Last Night,Traveling Wilburys
Oh Daddy,Adrian Belew
Come Anytime,Hoodoo Gurus
Into The Heart Of Love,The Mighty Lemon Drops
Monkey Gone To Heaven,Pixies
Channel Z,The B-52's
Crossfire,Stevie Ray Vaughan and Double Trouble
The Crush Of Love,Joe Satriani
Second Chance,38 Special
Getting Away with It,Electronic
Now You're in Heaven,Julian Lennon
I'm An Adult Now,The Pursuit Of Happiness
Similar Features,Melissa Etheridge
She Drives Me Crazy,Fine Young Cannibals
Contact,Big Audio Dynamite
The Living Years,Mike + the Mechanics
Hey Baby,Henry Lee Summer
Kissing Willie,Jethro Tull
Working on It,Chris Rea
Janie's Got a Gun,Aerosmith
Way Of The World,Max Q
Knock Me Down,Red Hot Chili Peppers
Heaven,Warrant
Waiting For Mary,Pere Ubu
Marathon,Rush
Pictures of Matchstick Men,Camper Van Beethoven
Show Don't Tell,Rush
Love Is A Long Road,Tom Petty
On The Line,Tangier
Send Me Somebody,Jon Butcher
"Ouija Board, Ouija Board",Morrissey
Radio Silence,Boris Grebenshikov
"Right Here, Right Now",Jesus Jones
Unbelievable,EMF
Wicked Game,Chris Isaak
Suicide Blonde,INXS
Never Enough (Big Mix),The Cure
Sadeness (Part I),Enigma
Cuts You Up,Peter Murphy
Crazy,Seal
House,Psychedelic Furs
Disappear,INXS
Downtown Tarin,Rod Stewart
Joey,Concrete Blonde
Cradle of Love,Billy Idol
Never Enough,The Cure
Enjoy the Silence,Depeche Mode
Been Caught Stealing,Jane's Addiction
Way Down Now,World Party
Blues From A Gun,The Jesus & Mary Chain
More,The Sisters of Mercy
Signs,Tesla
Hurting Kind (I've Got My Eyes On You),Robert Plant
My Head's in Mississippi,ZZ Top
Kinky Afro,Happy Mondays
Doubleback,ZZ Top
Lift Me Up,Yes
Head On,The Jesus & Mary Chain
Across the River,Bruce Hornsby
Nothing Compares 2 U,Sinead O'Connor
Blue Sky Mine,Midnight Oil
Dreamtime,The Heart Throbs
Blaze of Glory,Jon Bon Jovi
What It Takes,Aerosmith
Peace In Our Time,Eddie Money
Jealous,Gene Loves Jezebel
I Don't Know Why I Love You,The House Of Love
Forgotten Years,Midnight Oil
Policy of Truth,Depeche Mode
If You Needed Somebody,Bad Company
Boys Cry Tough,Bad Company
The Other Side,Aerosmith
Stone Cold Yesterday,The Connells
One and Only Man,Steve Winwood
The Crying Scene,Aztec Camera
Hard to Handle,The Black Crowes
Merry Go Round,The Replacements
All I Wanna Do Is Make Love to You,Heart
Mansion On The Hill,Neil Young & Crazy Horse
There She Goes,The La's
Metropolis,The Church
Concrete and Steel,ZZ Top
No Alibis,Eric Clapton
Standing There,The Creatures
A Night On The Town,Bruce Hornsby and the Range
" Real, Real, Real",Jesus Jones
Iceblink Luck,Cocteau Twins
High Enough,Damn Yankees
Getting Away With It,Electronic
Brickyard Road,Johnny Van Zant
Velouria,Pixies
Hippychick,Soho
Cliffs Of Dover,Eric Johnson
Jealous Again,The Black Crowes
Holy Water,Bad Company
Anytime,McAuley Schenker Group
The Emperor's New Clothes,Sinead O'Connor
Money Talks,AC/DC
Come Again,Damn Yankees
Shelter Me,Cinderella
I Think I Love You Too Much,Jeff Healey Band
Give It Up,ZZ Top
A Face In The Crowd,Tom Petty
Love Will Lead You Back,Taylor Dayne
Fools Gold,The Stone Roses
Yer So Bad,Tom Petty
Celebrate,An Emotional Fish
Downtown,Lloyd Cole
Almost Hear You Sigh,The Rolling Stones
When The River Runs Dry,Hunters & Collectors
Thunderstruck,AC/DC
Piccadilly Palare,Morrissey
Crystal Clear,The Darling Buds
You're Amazing,Robert Palmer
Coming of Age,Damn Yankees
Tom's Diner,DNA featuring Suzanne Vega
Sweet Smell Of Success,The Stranglers
Tie Dye On The Highway,Robert Plant
I'm Free,The Soup Dragons
Can't Get Enuff,Winger
All Together Now,The Farm
Here's Where the Story Ends,The Sundays
Hello,The Beloved
King Of Dreams,Deep Purple
Hello I Love You,The Cure
The Sensual Man,Kate Bush
The Heart of the Matter,Don Henley
Mysterious Ways,U2
Losing My Religion,R.E.M.
All This Time,Sting
I'm Too Sexy,Right Said Fred
I Can't Dance,Genesis
November Rain,Guns N' Roses
The Fly,U2
Kiss Them for Me,Siouxsie & the Banshees
Learning to Fly,Tom Petty and the Heartbreakers
Smells Like Teen Spirit,Nirvana
Top of the World,Van Halen
When a Man Loves a Woman,Michael Bolton
Wind of Change,Scorpions
Get a Leg Up,John Mellencamp
Rush,Big Audio Dynamite
See the Lights,Simple Minds
Silent Lucidity,Queensryche
Hole Hearted,Extreme
Highwire,The Rolling Stones
Right Now,Van Halen
Can't Stop This Thing We Started,Bryan Adams
"Mama, I'm Coming Home",Ozzy Osbourne
The Other Side of Summer,Elvis Costello
Get the Message,Electronic
Telephone Song,The Vaughan Brothers
Dreamline,Rush
Runaround,Van Halen
Moneytalks,AC/DC
I Touch Myself,Divinyls
Chorus (Fishes In The Sea),Erasure
So You Think You're in Love,Robyn Hitchcock & The Egyptians
Justified & Ancient,The KLF
Ordinary Average Guy,Joe Walsh
Heavy Fuel,Dire Straits
Valerie Loves Me,Material Issue
The Globe,Big Audio Dynamite II
Miss Freelove '69,Hoodoo Gurus
Sax and Violins,Talking Heads
Out In The Cold,Tom Petty and the Heartbreakers
Give It Away,Red Hot Chili Peppers
Shiny Happy People,R.E.M.
She Talks to Angels,The Black Crowes
She Goes Down,Billy Squier
Call It Rock N' Roll,Great White
When It Began,The Replacements
Caribbean Blue,Enya
Lowdown And Dirty,Foreigner
Don't Cry,Guns N' Roses
Sweetness And Light,Lush
Beautiful Love,Julian Cope
Poundcake,Van Halen
Movin' On Up,Primal Scream
The Unforgiven,Metallica
She Takes My Breath Away,Eddie Money
No Son of Mine,Genesis
Marble,The House Of Love
Ghost of a Chance,Rush 
Take 5,Northside
If You Don't Start Drinkin' (I'm Gonna Leave),George Thorogood & The Destroyers
It's Only Natural,Crowded House
The Real Love,Bob Seger
Until She Comes,Psychedelic Furs
Tomorrow Never Knows,Danielle Dax
Face The Music,RTZ
Raw,The Alarm
Jet City Woman,Queensryche
Its Love,King's X
The Sky Is Crying,Stevie Ray Vaughan and Double Trouble
Sensible Shoes,David Lee Roth
The Fire Inside,Bob Seger & The Silver Bullet Band
Reach The Rock,Havana 3 A.M.
Diane,Material Issue
Tighten Up,Electronic
Love Is a Wonderful Thing,Michael Bolton
You Could Be Mine,Guns N' Roses
Obvious Song,Joe Jackson
Unreal World, The Godfathers
Letter To Memphis,Pixies
Bitter Tears,INXS
Heaven In The Back Seat,Eddie Money
Kosmik,Ziggy Marley and the Melody Makers
Sadeness (Part 1),Enigma
Trademark,Eric Johnson
Move Any Mountain (Progen '91),The Shamen
She's A Girl And I'm A Man,Lloyd Cole
Twist Of The Knife,The Fabulous Thunderbirds
Sunless Saturday,Fishbone
Pearl,Chapterhouse
Steam,Peter Gabriel
Ordinary World,Duran Duran
Man on the Moon,R.E.M.
Remedy,The Black Crowes
Drive,R.E.M.
Friday I'm in Love,The Cure
One,U2
Even Better Than the Real Thing,U2
Digging in the Dirt,Peter Gabriel
Sax And Violins,Talking Heads
High,The Cure
Under the Bridge,Red Hot Chili Peppers
How About That,Bad Company
Hotel Illness,The Black Crowes
Hit,The Sugarcubes
Ghost Of A Chance,Rush
Stand Up (Kick Love into Motion),Def Leppard
Human Touch,Bruce Springsteen
Good Stuff,The B-52's
Let's Get Rocked,Def Leppard
Tomorrow,Morrissey
Ignoreland,R.E.M.
Thorn in My Pride,The Black Crowes
Sleeping Satellite,Tasmin Archer
Somebody to Sh**e,Soul Asylum
Rest in Peace,Extreme
Keep the Faith,Bon Jovi
Not Sleeping Around,Ned's Atomic Dustbin
Ballerina Out Of Control,The Ocean Blue
Midlife Crisis,Faith No More
She's Mad,David Byrne
Who's Gonna Ride Your Wild Horses,U2
Ripple,The Church
Again Tonight,John Mellencamp
Teen Angst (What the World Needs Now),Cracker
Into The Fire,Sarah McLachlan
Kings Highway,Tom Petty and the Heartbreakers
Not Enough Time,INXS
Little Miss Can't Be Wrong,Spin Doctors
Star Sign,Teenage Fanclub
Black,Pearl Jam
Dyslexic Heart,Paul Westerberg
"What God Wants, Part I",Roger Waters
These Are Days,"10,000 Maniacs"
Love U More,Sunscreem
Weirdo,The Charlatans
Love And Happiness,John Mellencamp
What's Good,Lou Reed
Summer Song,Joe Satriani
Come As You Are,Nirvana
Connected,Stereo MC's
Sting Me,The Black Crowes
Sometimes Love Just Ain't Enough ,Patty Smyth
Heaven Sent,INXS
The Ballad of Peter Pumpkinhead,XTC
Helpless,Sugar
It's A Shame About Ray,The Lemonheads
Taste It,INXS
Don't Tread On Me,Damn Yankees
Soul Doctor,Foreigner
Living In A Dream,Arc Angels
Help Me Up,Eric Clapton
Time After Time,Ozzy Osbourne
Sent By Angels,Arc Angels
Shuffle It All,Izzy Stradlin and the Ju Ju Hounds
Haven't Got A Clue,Dramarama
There Will Never Be Another Tonight,Bryan Adams
Start The Car,Jude Cole
Spiritual High (State Of Independence) Part II,Moodswings
Poison Heart,Ramones
What Girls Want,Material Issue
Blood Makes Noise,Suzanne Vega
Honeydrip, Ian McCulloch
Too Many Ways to Fall,Arc Angel
57 Channels (And Nothin' On),Bruce Springsteen
Tell Your Sister,Lloyd Cole
Jeremy,Pearl Jam
Roll Of The Dice,Bruce Springsteen
Another Rainy Night (Without You),Queensryche
Trout,Neneh Cherry
What You Give,Tesla
The Dream Is Over,Van Halen
Everything About You,Ugly Kid Joe
War Of Man,Neil Young
Even Flow,Pearl Jam
Love Is Alive,Joe Cocker
Hunger Strike,Temple of the Dog
Behind The Sun,Red Hot Chili Peppers
Fabulous,Happyhead
It's My Life,Dr. Alban
No Regrets,Tom Cochrane
Bad Luck,Social Distortion
Face To Face,Siouxsie and the Banshees
We Hate It When Our Friends Become Successful,Morrissey
Until the End of the World,U2
Mr. Jones,Counting Crows
Daughter,Pearl Jam
(I Can't Help) Falling in Love with You,UB40
Stand Up (Kick Love Into Motion),Def Leppard
Found Out About You,Gin Blossoms
Loser,Beck
All Apologies,Nirvana
Are You Gonna Go My Way,Lenny Kravitz
Livin' on the Edge,Aerosmith
No Rain,Blind Melon
Regret,New Order
Into Your Arms,The Lemonheads
Soul to Squeeze,Red Hot Chili Peppers
Heart-Shaped Box,Nirvana
Disarm,The Smashing Pumpkins
Low,Cracker
Too Many Ways To Fall,Arc Angels
Trout,Neneh Cherry featuring Michael Stipe
Black Gold,Soul Asylum
I Feel You,Depeche Mode
Pets,Porno for Pyros
Man On The Moon,R.E.M.
The River of Dreams,Billy Joel
The Devil You Know,Jesus Jones
Plush,Stone Temple Pilots
Break It Down Again,Tears for Fears
Big Gun,AC/DC
Mister Please,Damn Yankees
Two Princes,Spin Doctors
Wicked As It Seems,Keith Richards
Shake My Tree,Coverdale·Page
Wired All Night,Mick Jagger
Please Forgive Me,Bryan Adams
Mary Jane's Last Dance,Tom Petty and the Heartbreakers
Real World,Queensryche
Pride And Joy,Coverdale·Page
Get Out Of Control,Daniel Ash
Sublime,The Ocean Blue
Runaway Train,Soul Asylum
Everybody Lay Down,Pat Benatar
Calling To You,Robert Plant
Peace Pipe,Cry of Love
Cursed Female,Porno For Pyros
Have I Told You Lately,Rod Stewart
Feed the Tree,Belly
Stick It Out,Rush
Creep,Stone Temple Pilots
Stone Free,Eric Clapton
Walking in My Shoes,Depeche Mode
World Class Fad,Paul Westerberg
Cannonball,The Breeders
Black On Black II,Heart
Baby Come On Home,Led Zeppelin
Hocus Pocus,Gary Hoey
Say Hello 2 Heaven,Temple Of The Dog
Candy Everybody Wants,"10,000 Maniacs"
Eat The Rich,Aerosmith
In Bloom,Nirvana
Crank,Catherine Wheel
Cats in the Cradle,Ugly Kid Joe
Take Me Anywhere,School Of Fish
What If I Came Knocking,John Mellencamp
Fever,Aerosmith
We Are The Normal,Goo Goo Dolls
Bad Thing,Cry of Love
Don't Tear Me Up,Mick Jagger
That Don't Satisfy Me,Brother Cane
Without A Trace,Soul Asylum
If I Ever Lose My Faith in You,Sting
The Hunter,Paul Rodgers
Big Time Sensuality,Björk
Good Lovin's Hard To Find,Lynyrd Skynyrd
Los Angeles,Frank Black
You,Candlebox
Rooster,Alice In Chains
Cold Fire,Rush
Metal Mickey,Suede
Said I Loved You...But I Lied,Michael Bolton
Sometimes Salvation,The Black Crowes
Amazing,Aerosmith
Sodajerk,Buffalo Tom
Purple Haze,The Cure
Wide River,Steve Miller Band
Being Simple,The Judybats
Somebody to Love,George Michael & Queen
Numb,U2
Can't Do A Thing (To Stop Me),Chris Isaak
Dogs of Lust,The The
Two Worlds Collide,Inspiral Carpets
I Don't Wanna Fight,Tina Turner
Laid,James
She Got Me (When She Got Her Dress On),Masters Of Reality
Human Wheels,John Mellencamp
The Ubiquitous Mr Lovegrove,Dead Can Dance
My Sister,the Julian Hatfield three
When I Come Around,Green Day
Interstate Love Song,Stone Temple Pilots
Better Man,Pearl Jam
Black Hole Sun,Soundgarden
Shine,Collective Soul
Love Spreads,The Stone Roses
"What's the Frequency, Kenneth?",R.E.M.
Fall Down,Toad the Wet Sprocket
Basket Case,Green Day
Bang and Blame,R.E.M.
Zombie ,The Cranberries
Everything Zen,Bush
Bad Thing,Cry Of Love
Selling the Drama,Live
Live Forever,Oasis
"The More You Ignore Me, the Closer I Get",Morrissey
Vasoline,Stone Temple Pilots
Mmm Mmm Mmm Mmm,Crash Test Dummies
No Excuses,Alice in Chains
Fell on Black Days,Soundgarden
Come Out and Play,The Offspring
Plowed,Sponge
About A Girl,Nirvana
Gotta Get Away, The Offspring
Keep Talking,Pink Floyd
Return to Innocence,Enigma
Let Her Cry,Hootie & the Blowfish
Always,Bon Jovi
Longview,Green Day
Connection,Elastica
Kite,Nick Heyward
Strong Enough,Sheryl Crow
Pincushion,ZZ Top
Deuces Are Wild,Aerosmith
You Don't Know How It Feels,Tom Petty
All I Wanna Do,Sheryl Crow
I'm Tore Down,Eric Clapton
Backwater,Meat Puppets
High Road Easy,Sass Jordan
Buddy Holly,Weezer
Corduroy,Pearl Jam
God,Tori Amos
Can't Get Out Of Bed,The Charlatans
Far Behind,Candlebox
13 Steps Lead Down,Elvis Costello
Night in My Veins,The Pretenders 
No One To Run With,The Allman Brothers Band
Now and Forever,Richard Marx
Big Empty,Stone Temple Pilots
Self Esteem,The Offspring
Push Comes To Shove,Jackyl
You Wreck Me,Tom Petty
Einstein on the Beach (For an Eggman),Counting Crows
Spoonman,Soundgarden
Seether,Veruca Salt
Love Is Strong,The Rolling Stones
Leaving Las Vegas,Sheryl Crow
Got Me Wrong,Alice in Chains
Locked Out,Crowded House
Hold My Hand,Hootie & the Blowfish
I Am I,Queensryche
Inside,Stiltskin
Sweet Jane (1994 Version),Cowboy Junkies
Day In The Sun,Peter Frampton
Sail Away,Great White
Watch The Girl Destroy Me,Possum Dixon
Nobody's Hero,Rush
Unglued,Stone Temple Pilots
Labour Of Love,Frente!
I Stay Away,Alice In Chains
Tones Of Home,Blind Melon
Cut Your Hair,Pavement
You Got Me Rocking,The Rolling Stones
Headache,Frank Black
Manic Depression,Seal and Jeff Beck
Prayer for the Dying,Seal
I Alone,Live
Bizarre Love Triangle,Frente!
Hooligan's Holiday,Motley Crue
Stay (I Missed You),Lisa Loeb & Nine Stories
Here Comes A Man,Traffic
Dissident,Pearl Jam
Supersonic,Oasis
Until I Fall Away,Gin Blossoms
21st Century (Digital Boy),Bad Religion
Breakaway,ZZ Top
Hair Of The Dog,Guns N' Roses
"Girl, You'll Be A Woman Soon",Urge Overkill
Hard Act To Follow,Brother Cane
Breathe,Collective Soul
Lightning Crashes,Live
Wonderwall,Oasis
1979,The Smashing Pumpkins
December,Collective Soul
Name,Goo Goo Dolls
In the Meantime,Spacehog
I Got ID,Pearl Jam
"Hold Me, Thrill Me, Kiss Me, Kill Me",U2
Santa Monica (Watch the World Die),Everclear
My Friends,Red Hot Chili Peppers
Good,Better Than Ezra
The World I Know,Collective Soul
You Oughta Know,Alanis Morissette
Tomorrow,Silverchair
Cumbersome,Seven Mary Three
Misery,Soul Asylum
Brain Stew/Jaded,Green Day
Comedown,Bush
Heaven Beside You,Alice in Chains
Lump,The Presidents of the United States of America
Glycerine,Bush
Hand in My Pocket,Alanis Morissette
Bullet with Butterfly Wings,The Smashing Pumpkins
Sour Times (Nobody Loves Me),Portishead
Natural One,Folk Implosion
Missing,Everything but the Girl
And Fools Shine On,Brother Cane
Gotta Get Away,The Offspring
Bridge,Queensryche
Naked,The Goo Goo Dolls
Downtown,Neil Young
All Over You,Live
This Is a Call,Foo Fighters
Got Me Wrong,Alice In Chains
Only Wanna Be with You,Hootie & the Blowfish
J.A.R. (Jason Andrew Relva),Green Day
Hard As a Rock,AC/DC
Don't Tell Me (What Love Can Do),Van Halen
Friends Of P.,The Rentals
Let Her Cry,Hootie & The Blowfish
Gel,Collective Soul
Hurt,Nine Inch Nails
Thank You,Jimmy Page & Robert Plant
Smashing Young Man,Collective Soul
High Head Blues,The Black Crowes
Sick of Myself,Matthew Sweet
Possum Kingdom,Toadies
River of Deceit,Mad Season
 Deja Voodoo,Kenny Wayne Shepherd
In the Blood,Better Than Ezra
I Believe,Blessid Union of Souls
She Don't Use Jelly,The Flaming Lips
Geek Stink Breath,Green Day
Amsterdam,Van Halen
Little Things,Bush
Can't Stop Lovin' You,Van Halen
Here & Now,Letters To Cleo
Hey Man Nice Shot,Filter
Molly (16 Candles Down the Drain),Sponge
Stutter,Elastica
Ode To My Family,The Cranberries
One of Us,Joan Osborne
Fake Plastic Trees,Radiohead
Til I Hear It from You,Gin Blossoms
No More I Love You's,Annie Lennox
I'd Lie for You (And That's the Truth),Meat Loaf
Just a Girl,No Doubt
A Higher Place,Tom Petty 
Believe,Elton John
Not For You,Pearl Jam
Pretty Penny,Stone Temple Pilots
Dancing Days,Stone Temple Pilots
Pure Massacre,Silverchair
Down by the Water,PJ Harvey
 Corduroy,Pearl Jam
The Day I Tried To Live,Soundgarden
What Would You Say,Dave Matthews Band
Walk This World,Heather Nova
"White, Discussion",Live
Kitty,The Presidents Of The United States Of America
What Do You Want From Me,Pink Floyd
Roll to Me,Del Amitri
All I Really Want,Alanis Morissette
Ridiculous Thoughts,The Cranberries
Rock and Roll Is Dead,Lenny Kravitz
Weird-Out,Dandelion
Murder Incorporated,Bruce Springsteen
Hey Hey What Can I Do,Hootie & The Blowfish
She's a River,Simple Minds
Perry Mason,Ozzy Osbourne
One Headlight,The Wallflowers
Until It Sleeps,Metallica
Swallowed,Bush
In The Meantime,Spacehog
Burden in My Hand,Soundgarden
Standing Outside a Broken Phone Booth with Money in My Hand,Primitive Radio Gods
Santa Monica (Watch The World Die),Everclear
Champagne Supernova,Oasis
A Long December,Counting Crows
Trippin' on a Hole in a Paper Heart,Stone Temple Pilots
Lady Picture Show,Stone Temple Pilots
Greedy Fly,Bush
Blow Up the Outside World,Soundgarden
Ironic,Alanis Morissette
You Were Meant for Me,Jewel
Don't Speak,No Doubt
Counting Blue Cars,Dishwalla
Heaven Beside You,Alice In Chains
What I Got,Sublime
Good Friday,The Black Crowes
Big Bang Baby,Stone Temple Pilots
Salvation,The Cranberries
Down,311
Me Wise Magic,Van Halen
Pepper,Butthole Surfers
Thirty-Three,The Smashing Pumpkins
Pretty Noose,Soundgarden
Hero of the Day,Metallica
See You On The Other Side,Ozzy Osbourne
#1 Crush,Garbage
Who You Are,Pearl Jam
Mother Mother,Tracy Bonham
Firestarter,The Prodigy
What's Up With That,ZZ Top
Breathe,The Prodigy
Climb That Hill,Tom Petty & The Heartbreakers
Waiting For Tonight,Tom Petty & The Heartbreakers 
Walls (Circus),Tom Petty & The Heartbreakers
Work It Out,Def Leppard
Blackberry,The Black Crowes
Novocaine for the Soul,Eels
Stupid Girl,Garbage
"Tonight, Tonight",The Smashing Pumpkins
Ready To Go,Republica
Desperately Wanting,Better Than Ezra
Angry Johnny,Poe
Machinehead,Bush
E-Bow the Letter,R.E.M.
Big Me,Foo Fighters
Tahitian Moon,Porno For Pyros
Everyday Is a Winding Road,Sheryl Crow
Angels of the Silences,Counting Crows
Free To Decide,The Cranberries
Open Up Your Eyes ,Tonic
Where the River Flows,Collective Soul
Cover You In Oil,AC/DC
Vanishing Cream,The Hunger
Just A Girl,No Doubt
Test for Echo,Rush
Sweet Lover Hangover,Love and Rockets
Humans Being,Van Halen
Crash into Me,Dave Matthews Band
Free,Phish
Bound for the Floor,Local H
Popular,Nada Surf
6 Underground,Sneaker Pimps
If It Makes You Happy,Sheryl Crow
I Was Wrong,Social Distortion
She's Just Killing Me,ZZ Top
Lie On Lie,Chalk FarM
Real Love,The Beatles
Naked,Goo Goo Dolls
Ruby Soho,Rancid
Skin & Bones,The Hazies
Bittersweet Me,R.E.M.
Caught A Lite Sneeze,Tori Amos
The Distance,Cake
Heartspark Dollarsign,Everclear
Rock And Roll All Nite,KISS
I Hate My Generation,Cracker
Give Me One Reason,Tracy Chapman
King of New Orleans,Better Than Ezra
Scooby Snacks,Fun Lovin' Criminals
Sister,The Nixons
Leave Me Alone,Jerry Cantrell
Mint Car,The Cure
Not an Addict,K's Choice
Ain't My Bi**h,Metallica
Too Much,Dave Matthews Band
Over Now,Alice in Chains
Mighty K.C.,For Squirrels
If I Could Talk I'd Tell You,The Lemonheads
Born With A Broken Heart,Kenny Wayne Shepherd
The 13th,The Cure
Sex and Candy,Marcy Playground
"Touch, Peel and Stand",Days of the New
Fly,Sugar Ray
Walkin' on the Sun,Smash Mouth
Semi-Charmed Life,Third Eye Blind
3:00 AM,Matchbox 20
If You Could Only See,Tonic
Tubthumping,Chumbawamba
Bitter Sweet Symphony,The Verve
Discothéque,U2
Good Riddance (Time of Your Life),Green Day
Push,Matchbox 20
The Freshmen,The Verve Pipe
Staring at the Sun,U2
Precious Declaration,Collective Soul
Gone Away,The Offspring
Listen,Collective Soul
Lakini's Juice,Live
Falling in Love (Is Hard on the Knees),Aerosmith
How's It Going to Be,Third Eye Blind
Pink,Aerosmith
Everything to Everyone,Everclear
My Own Prison,Creed
Not An Addict,K's Choice
Clumsy,Our Lady Peace
The Impression That I Get,The Mighty Mighty Bosstones
The Unforgiven II,Metallica
Little White Lie,Sammy Hagar
Torn,Natalie Imbruglia
Brimful of Asha,Cornershop
Wash It Away,Black Lab
The Difference,The Wallflowers
Brick,Ben Folds Five
Half The World,Rush
Everlong,Foo Fighters
Dirty Eyes,AC/DC
Crash Into Me,Dave Matthews Band
Have You Seen Mary,Sponge
Bitch,Meredith Brooks
Almost Honest,Megadeth
Turn My Head,Live
Long Day,Matchbox 20
Looking For,Stir
Eye,The Smashing Pumpkins
Wrong Number,The Cure
Jungle,KISS
Casual Affair,Tonic
I Will Come to You,Hanson
Lovefool,The Cardigans
Baton Rouge,The Nixons
Building a Mystery,Sarah McLachlan
Tumble In The Rough,Stone Temple Pilots
D'You Know What I Mean?,Oasis
Sell Out,Reel Big Fish
Afraid,Motley Crue
The Memory Remains,Metallica
Abuse Me,Silverchair
It's No Good,Depeche Mode
Both Sides Now,Sammy Hagar
Your Woman,White Town
Blame,Collective Soul
You,Queensryche
Santeria,Sublime
Sunny Came Home,Shawn Colvin
The End Is the Beginning Is the End,The Smashing Pumpkins
Fuel,Metallica
Hitchin' a Ride,Green Day
Wrong Way,Sublime
Lie To Me,Jonny Lang
Can't Get This Stuff No More,Van Halen
Song 2,Blur
Just Another Day,John Mellencamp
Karma Police,Radiohead
Hell,Squirrel Nut Zippers
Mann's Chinese,Naked
Hello,Poe
Hope In A Hopeless World,Widespread Panic
Criminal,Fiona Apple
Resignation Superman,Big Head Todd & The Monsters
Back on Earth,Ozzy Osbourne
Bleed Together,Soundgarden
The Oaf,Big Wreck
Last Cup Of Sorrow,Faith No More
Taste Of India,Aerosmith
Slow Ride,Kenny Wayne Shepherd
Radiation Vibe,Fountains Of Wayne
Anybody Seen My Baby?,The Rolling Stones
Flip The Switch,The Rolling Stones
Walking In A Hurricane,John Fogerty
This Lonely Place,Goldfinger
Carolina Blues,Blues Traveler
Transistor,311
What It's Like,Everlast
Every Morning,Sugar Ray
The Way,Fastball
One Week,Barenaked Ladies
Fly Away,Lenny Kravitz
Given to Fly,Pearl Jam
One,Creed
Iris,Goo Goo Dolls
The Down Town,Days of the New
Good Riddance (Time Of Your Life),Green Day
Turn the Page,Metallica
What's This Life For,Creed
Inside Out,Eve 6
Slide,Goo Goo Dolls
Closing Time,Semisonic
Blue on Black,Kenny Wayne Shepherd
Celebrity Skin,Hole
Frozen,Madonna
Blue Monday,Orgy
Kiss Me,Sixpence None the Richer
Pretty Fly (For a White Guy),The Offspring
Big Mistake,Natalie Imbruglia
Never There,Cake
How's It Going To Be,Third Eye Blind
Whatever,Godsmack
Malibu,Hole
Shimmer,Fuel
I Lie in the Bed I Make,Brother Cane
Ava Adore,The Smashing Pumpkins
I Don't Want to Miss a Thing,Aerosmith
Ray of Light,Madonna
Fire In The Hole,Van Halen
Better Than You,Metallica
Without You,Van Halen
Leech,Eve 6
You Get What You Give,New Radicals
I Will Buy You a New Life,Everclear
Jump Right In,The Urge featuring Nicholas Hexum
Slam Dunk,DLR Band
"Truly, Truly",Grant Lee Buffalo
Flagpole Sitta,Harvey Danger
Hooch,Everything
Intergalactic,Beastie Boys
Walking After You,Foo Fighters
Most High,Jimmy Page & Robert Plant
Machete,Brother Cane
Psycho Circus,KISS
Smoke,Natalie Imbruglia
Got You (Where I Want You),The Flys
Perfect,The Smashing Pumpkins
Get 'Em Outta Here,Sprung Monkey
My Hero,Foo Fighters
Saint Of Me ,The Rolling Stones
Shelf in the Room,Days of the New
Cigarettes And Alcohol,Rod Stewart
"10,000 Horses",Candlebox
Save Tonight,Eagle-Eye Cherry
Wishlist,Pearl Jam
Space Lord,Monster Magnet
Heroes,The Wallflowers
